##Databases: KEGG PATHWAY
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Metabolic pathways	KEGG PATHWAY	dre01100	16	1507	1.21391013251e-05	0.000570537762279	nudt9|qdpra|bhmt|ca2|hpdb|nqo1|impa1|fah|gmds|rpia|pah|hgd|gyg1b|ass1|aldh1a2|hsd17b7	http://www.genome.jp/kegg-bin/show_pathway?dre01100/dre:407673%09red/dre:566323%09red/dre:322228%09red/dre:437018%09red/dre:447864%09red/dre:393461%09red/dre:406661%09red/dre:415152%09red/dre:322372%09red/dre:259189%09red/dre:387526%09red/dre:378962%09red/dre:768185%09red/dre:322506%09red/dre:116713%09red/dre:445287%09red
Tyrosine metabolism	KEGG PATHWAY	dre00350	3	34	0.000191293569874	0.00449539889205	hgd|hpdb|fah	http://www.genome.jp/kegg-bin/show_pathway?dre00350/dre:322372%09red/dre:259189%09red/dre:445287%09red
Ubiquinone and other terpenoid-quinone biosynthesis	KEGG PATHWAY	dre00130	2	11	0.00068606293361	0.0107483192932	hpdb|nqo1	http://www.genome.jp/kegg-bin/show_pathway?dre00130/dre:445287%09red/dre:322506%09red
Phenylalanine metabolism	KEGG PATHWAY	dre00360	2	16	0.0013325931341	0.0156579693257	pah|hpdb	http://www.genome.jp/kegg-bin/show_pathway?dre00360/dre:378962%09red/dre:445287%09red
Biosynthesis of amino acids	KEGG PATHWAY	dre01230	3	88	0.00265943506456	0.0249986896069	pah|rpia|ass1	http://www.genome.jp/kegg-bin/show_pathway?dre01230/dre:407673%09red/dre:447864%09red/dre:378962%09red
Folate biosynthesis	KEGG PATHWAY	dre00790	2	30	0.00420316476482	0.0329247906578	pah|qdpra	http://www.genome.jp/kegg-bin/show_pathway?dre00790/dre:566323%09red/dre:378962%09red
Proteasome	KEGG PATHWAY	dre03050	2	56	0.0133151878391	0.0894019754914	psmb10|psma6b	http://www.genome.jp/kegg-bin/show_pathway?dre03050/dre:436862%09red/dre:436816%09red
Herpes simplex virus 1 infection	KEGG PATHWAY	dre05168	3	188	0.0201767234168	0.109192608779	si:ch73-237c6.1|rela|c3a.2	http://www.genome.jp/kegg-bin/show_pathway?dre05168/dre:100149189%09red/dre:30491%09red/dre:415099%09red
Phenylalanine, tyrosine and tryptophan biosynthesis	KEGG PATHWAY	dre00400	1	6	0.0209092229578	0.109192608779	pah	http://www.genome.jp/kegg-bin/show_pathway?dre00400/dre:378962%09red
One carbon pool by folate	KEGG PATHWAY	dre00670	1	18	0.0557518564594	0.229514348622	aldh1l1	http://www.genome.jp/kegg-bin/show_pathway?dre00670/dre:100526683%09red
Steroid biosynthesis	KEGG PATHWAY	dre00100	1	19	0.0585994081588	0.229514348622	hsd17b7	http://www.genome.jp/kegg-bin/show_pathway?dre00100/dre:768185%09red
Nitrogen metabolism	KEGG PATHWAY	dre00910	1	19	0.0585994081588	0.229514348622	ca2	http://www.genome.jp/kegg-bin/show_pathway?dre00910/dre:387526%09red
Arginine biosynthesis	KEGG PATHWAY	dre00220	1	25	0.0755071529297	0.254045477627	ass1	http://www.genome.jp/kegg-bin/show_pathway?dre00220/dre:447864%09red
Porphyrin and chlorophyll metabolism	KEGG PATHWAY	dre00860	1	31	0.0921143707795	0.254045477627	cp	http://www.genome.jp/kegg-bin/show_pathway?dre00860/dre:84702%09red
