id,symbol,name,Proximal,Distal,foldChange,log2FoldChange,pval,FDR
ENSDARG00000000001,slc35a5,"solute carrier family 35, member A5",52.31172326,95.56471859,1.826815976,0.869331311,8.27E-06,5.46E-05
ENSDARG00000000002,ccdc80,coiled-coil domain containing 80,222.7341258,271.9132349,1.220796378,0.287822587,0.031298197,0.078925009
ENSDARG00000000018,nrf1,nuclear respiratory factor 1,494.9909191,365.5655219,0.738530283,-0.437271017,0.000389167,0.001782398
ENSDARG00000000019,ube2h,"ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast)",392.383616,563.1647954,1.435239233,0.521291233,1.51E-05,9.49E-05
ENSDARG00000000068,slc9a3r1,"solute carrier family 9, subfamily A (NHE3, cation proton antiporter 3), member 3 regulator 1",242.0502383,253.1735962,1.045954559,0.064820176,0.595522336,0.745021313
ENSDARG00000000069,dap,death-associated protein,379.3961429,349.0242117,0.919946863,-0.120377562,0.333935757,0.501954557
ENSDARG00000000086,itsn1,intersectin 1 (SH3 domain protein),2882.640289,2380.305609,0.825738054,-0.276243901,0.013090402,0.038297178
ENSDARG00000000103,myh10,"myosin, heavy chain 10, non-muscle",2082.646092,808.1478124,0.388039248,-1.365725513,1.28E-34,1.00E-32
ENSDARG00000000142,si:busm1-79m10.4,si:busm1-79m10.4,125.9092841,181.8019952,1.443909022,0.529979843,0.000391194,0.001790281
ENSDARG00000000151,thraa,thyroid hormone receptor alpha a,524.7940591,640.7795507,1.22101102,0.288076222,0.015219694,0.043418054
ENSDARG00000000161,itsn2a,intersectin 2a,64.74799309,67.3380411,1.040001363,0.05658542,0.788886855,0.888095986
ENSDARG00000000175,hoxb2a,homeobox B2a,1.307465424,2.726773942,2.084712284,1.059848288,0.335823468,0.503982844
ENSDARG00000000183,ptpn4b,"protein tyrosine phosphatase, non-receptor type 4b",199.6990384,150.958337,0.755930436,-0.403674618,0.004872971,0.016487931
ENSDARG00000000189,sema6e,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6E",1531.509477,1808.931294,1.181142618,0.240183175,0.127078212,0.24304474
ENSDARG00000000212,krt97,keratin 97,12506.28691,8211.134607,0.656560577,-0.606999969,0.000140131,0.000717013
ENSDARG00000000229,usp49,ubiquitin specific peptidase 49,434.6696235,347.4948461,0.799446356,-0.322926865,0.010543579,0.031901994
ENSDARG00000000241,slc40a1,"solute carrier family 40 (iron-regulated transporter), member 1",313.809185,219.8573814,0.700609451,-0.513317645,0.000112759,0.000589327
ENSDARG00000000324,dcaf8,DDB1 and CUL4 associated factor 8,421.8050292,513.9538807,1.218462623,0.285061996,0.019141915,0.052640794
